"408","ATO","Ohio University Airport","Athens","USA - Ohio","0",
"409","ATP","Aitape Airstrip","Aitape","Papua New Guinea","0",
"410","ATQ","Raja Sansi Airport","Amritsar","India","0",
"411","ATR","Mouakchott Airport","Atar","Mauritania","0",
"412","ATS","Artesia Airport","Artesia","USA - New Mexico","0",
"413","ATT","Atmautluak Airport","Atmautluak","USA - Alaska","0",
"414","ATV","Ati Airport","Ati","Mali","0",
"415","ATW","Outagamie County Airport","Appleton","USA - Wisconsin","0",
"416","ATX","Atbasar Airport","Atbasar","Kazakhstan","0",
"417","ATY","Watertown Airport","Watertown","USA - South Dakota","0",
"418","ATZ","Assiut Airport","Assiut","Egypt","0",
"419","AUA","Reina Beatrix Airport","Aruba","Aruba","0",
"420","AUB","Itauba Airport","Itauba","Brazil","0",
"421","AUC","Arauca Airport","Arauca","Colombia","0",
"422","AUD","Augustus Downs Airport","Augustus Downs","Australia","0",
"423","AUE","Abu Rudeis Airport","Abu Rudeis","Egypt","0",
"424","AUF","Aeroport Auxerre Branches","Auxerre","France","0",
"425","AUG","Augusta Airport","Augusta","USA - Maine","0",
"426","AUH","Abu Dhabi International Airport","Abu Dhabi","UAE","0",
"427","AUI","Aua Island Airport","Aua Island","Papua New Guinea","0",
"428","AUJ","Ambunti Airport","Ambunti","Papua New Guinea","0",
"429","AUK","Alakanuk Airport","Alakanuk","USA - Alaska","0",
"430","AUM","Austin Airport","Austin","USA - Minnesota","0",
"431","AUN","Auburn Airport","Auburn","USA - California","0",
"432","AUO","Auburn-Opelika Airport","Auburn","USA - Alabama","0",
"433","AUP","Agaun Airport","Agaun","Papua New Guinea","0",
"434","AUQ","Atuona Airport","Atuona","French Polynesia","0",
"435","AUR","Aurillac Airport","Aurillac","France","0",
"436","AUS","Austin-Bergstrom International Airport","Austin","USA - Texas","0",
"437","AUT","Atauro Airport","Atauro","Indonesia","0",
"438","AUU","Aurukun Mission Airport","Aurukun Mission","Australia","0",
"439","AUV","Aumo Airport","Aumo","Papua New Guinea","0",
"440","AUW","Wausau Municipal Airport","Wausau","USA - Wisconsin","0",
"441","AUX","Araguaina Airport","Araguaina","Brazil","0",
"442","AUY","Aneityum Airport","Aneityum","Vanuatu","0",
"443","AUZ","Aurora Municipal Airport","Aurora","USA - Illinois","0",
